#{"t_start": 1743683711.9150567, "env_id": "None"}
r,l,t
30.3,20,40.519323
26.9,20,40.548981
15.9,20,40.569324
20.7,20,40.607163
28.1,20,40.624252
14.9,20,40.63093
30.3,20,40.64375
34.7,20,40.675658
24.5,20,40.691712
29.5,20,40.706592
23.9,20,40.721924
32.9,20,40.738022
27.7,20,40.740265
19.1,20,40.753737
34.7,20,40.769859
31.3,20,40.786004
30.3,20,40.802147
36.3,20,40.818049
30.7,20,40.833991
33.7,20,40.852112
35.7,20,40.866121
27.7,20,40.882107
36.3,20,40.898152
32.7,20,40.898152
19.1,20,40.929802
39.7,19,40.945661
36.5,20,40.964188
21.1,5,40.973307
35.7,20,40.993277
24.7,20,41.009228
23.3,20,41.854625
35.9,20,41.881262
28.9,20,41.905187
32.3,20,41.931697
32.3,20,41.961602
30.7,20,41.992067
28.5,20,42.023401
35.1,20,42.048106
26.7,20,42.069093
28.3,20,42.094994
36.5,20,42.11335
24.1,20,42.133375
17.5,20,42.150369
24.1,20,42.166823
32.3,20,42.171427
32.1,20,42.202645
31.5,20,42.224279
32.9,20,42.242874
28.1,20,42.259355
36.7,20,42.276304
29.1,20,42.292659
28.9,20,42.308557
35.5,20,42.326253
31.9,20,42.342215
28.3,20,42.3847
35.9,20,42.401234
34.9,20,42.418681
31.3,20,42.435235
31.7,20,42.458761
32.5,20,42.478804
13.7,20,42.49909
35.5,20,42.523504
13.7,20,42.536241
32.7,20,42.559719
28.3,20,42.568674
35.9,20,42.598226
28.3,20,42.615283
30.1,20,42.631746
